date,symbol,price,gp_ratio,to_buy
2021-06-14,CVLT,81.35,0.5127129052320203,0
2021-06-14,DT,56.16,0.572909457313846,1
2021-06-14,GDDY,85.4,0.44245921651315057,0
2021-06-14,KEYS,148.58,0.47338247338247336,1
2021-06-14,TEAM,250.89,1.0827126499838235,1
2021-06-14,FTNT,46.29,0.5082359566380402,1
2022-02-28,VRSN,213.72,0.6276373167836196,1
2024-07-23,VRSN,176.26,0.45207956600361665,1
2023-11-22,DOCU,42.26,0.5382134459132436,1
2021-08-05,IT,295.23,0.7831543905307804,1
2021-08-05,HOLX,76.35,0.596336557391081,1
2021-08-05,SNPS,293.2,0.7281630452262258,1
2022-10-31,CVLT,60.89,0.4593447731272965,1
2022-10-31,ANSS,221.16,0.486843692527793,1
2021-06-23,TTD,65.39,0.5222941527039138,1
2021-06-23,KEYS,150.95,0.47338247338247336,1
2021-06-23,SNPS,268.86,0.8514394385364773,1
2021-06-23,ANSS,339.0,0.7338158611993635,1
2024-04-29,TTD,84.5,0.5780646632183417,1
2024-04-29,APP,72.99,0.5179985162293324,1
2024-04-29,CVLT,99.43,0.5121992727012163,1
2021-06-11,TTD,59.98,0.5222941527039138,1
2021-06-11,KEYS,147.83,0.47338247338247336,1
2021-06-11,TEAM,244.09,1.0827126499838235,1
2021-06-11,SNPS,263.07,0.8514394385364773,1
2021-06-11,ANSS,336.42,0.7338158611993635,1
2024-04-18,TTD,80.81,0.5780646632183417,1
2024-04-18,CVLT,94.15,0.5121992727012163,1
2024-06-13,DDOG,119.54,0.7472110566328509,1
2024-06-13,APP,75.65,0.5179985162293324,1
2024-06-13,CVLT,114.46,0.5121992727012163,1
2024-06-13,ZS,181.05,0.448554865229817,1
2024-06-13,FFIV,167.96,0.4918838078297038,1
2021-09-21,IT,307.5,0.7831543905307804,1
2021-09-21,FFIV,197.17,0.4698940162544224,1
2021-09-21,ALK,56.11,0.5009823182711198,1
2024-01-29,APP,46.57,0.525658765018185,0
