Ticker,name,lower_hotel_name
A,Agilent Technologies,agilent-technologies
AAL,American Airlines Group,american-airlines-group
AAP,Advance Auto Parts,advance-auto-parts
AAPL,Apple,apple
ABBV,AbbVie,abbvie
ABT,Abbott Laboratories,abbott-laboratories
ACN,Accenture plc,accenture-plc
ADBE,Adobe,adobe
ADI,Analog Devices,analog-devices
ADM,Archer-Daniels-Midland Company,archer-daniels-midland
ADP,Automatic Data Processing,automatic-data-processing
ADSK,Autodesk,autodesk
AEE,Ameren,ameren
AEP,American Electric Power Company,american-electric-power
AFL,Aflac Incorporated,aflac-incorporated
AIG,American International Group,american
AIV,Apartment Investment and Management Company,apartment-investment-and-management
AIZ,Assurant,assurant
AJG,Arthur J. Gallagher & Co,arthur-j.-gallagher-&-co
AKAM,Akamai Technologies,akamai-technologies
ALB,Albemarle,albemarle
ALGN,Align Technology,align-technology
ALK,Alaska Air Group,alaska-air
ALL,The Allstate,the-allstate
ALLE,Allegion plc,allegion-plc
AMAT,Applied Materials,applied-materials
AMCR,Amcor plc,amcor-plc
AMD,Advanced Micro Devices,amd
AME,AMETEK,ametek
AMGN,Amgen,amgen
AMP,Ameriprise Financial,ameriprise-financial
AMT,American Tower,american-tower
AMZN,Amazon.com,amazon
ANET,Arista Networks,arista-networks
ANSS,ANSYS,ansys
AON,Aon plc,aon-plc
AOS,A. O. Smith,a.-o.-smith
APA,APA,apa
APD,Air Products and Chemicals,air-products-and-chemicals
APH,Amphenol,amphenol
APTV,Aptiv PLC,aptiv
ARE,Alexandria Real Estate Equities,alexandria-real-estate-equities
ATO,Atmos Energy,atmos-energy
AVB,AvalonBay Communities,avalonbay-communities
AVGO,Broadcom,broadcom
AVY,Avery Dennison,avery-dennison
AWK,American Water Works Company,american-water-works
AXP,American Express Company,american-express
AZO,AutoZone,autozone
BA,The Boeing Company,the-boeing
BAC,Bank of America,bank-of-america
BAX,Baxter International,baxter
BBY,Best Buy Co,best-buy-co
BDX,"Becton, Dickinson and Company","becton,-dickinson-and"
BEN,Franklin Resources,franklin-resources
BIIB,Biogen,biogen
BIO,Bio-Rad Laboratories,bio-rad-laboratories
BK,The Bank of New York Mellon,bank-of-new-york-mellon
BKNG,Booking Holdings,booking-holdings
BKR,Baker Hughes Company,baker-hughes
BLK,BlackRock,blackrock
BMY,Bristol-Myers Squibb Company,bristol-myers-squibb
BR,Broadridge Financial Solutions,broadridge-financial-solutions
BSX,Boston Scientific,boston-scientific
BWA,BorgWarner,borgwarner
BXP,BXP,bxp
LRCX,Lam Research,lam-research
NXPI,NXP Semiconductors N.V,nxp-semiconductors
MBLY,Mobileye Global,mobileye-global
CRWD,CrowdStrike Holdings,crowdstrike-holdings
SNPS,Synopsys,synopsys
CDNS,Cadence Design Systems,cadence-design-systems
MCHP,Microchip Technology Incorporated,microchip-technology
FTNT,Fortinet,fortinet
ADSK,Autodesk,autodesk
MNST,Monster Beverage,monster-beverage
DELL,Dell Technologies,dell
ERIE,Erie Indemnity Company,erie-indemnity
KKR,KKR & Co,kkr-&-co
GDDY,GoDaddy,godaddy
VST,Vistra Corp,vistra-corp
GEV,GE Vernova,ge-vernova
CCJ,Cameco,cameco
PLTR,Palantir Technologies,palantir-technologies
VICI,,
TMDX,,
RKLB,,
TTD,,
SNOW,,
MDB,,
ZS,,
CFLT,,
DT,,
WDAY,,
S,,
MNDY,,
GTLB,,
TEAM,,
ESTC,,
BRZE,,
IONQ,,
APP,,
COIN,,
HIMS,,
ALAB,,
FOUR,,
FSLR,,
MELI,,
GLBE,,
ZETA,,
CLBT,,
CVLT,,
LIF,,
DOCN,,
DOCU,,
NET,,
U,,
HUBS,,
FSLY,,
ASTS,,
HOOD,,
MSTR,,
CORZ,,
MGNI,,
CPNG,,
SE,,
NNE,,
ELV,,
NU,,
CELH,,
OKLO,,
C,Citigroup,citigroup
CAG,Conagra Brands,conagra-brands
CAH,Cardinal Health,cardinal-health
CARR,Carrier Global,carrier-global
CAT,Caterpillar,caterpillar
CB,Chubb,chubb
CBOE,Cboe Global Markets,cboe-global-markets
CBRE,CBRE Group,cbre
CCI,Crown Castle,crown-castle
CCL,Carnival & plc,carnival-&-plc
CDNS,Cadence Design Systems,cadence-design-systems
CDW,CDW,cdw
CE,Celanese,celanese
CF,CF Industries Holdings,cf-industries-holdings
CFG,Citizens Financial Group,citizens-financial-group
CHD,Church & Dwight Co,church-&-dwight-co
CHRW,C.H. Robinson Worldwide,ch-robinson-worldwide
CHTR,Charter Communications,charter-communications
CI,The Cigna Group,the-cigna-group
CINF,Cincinnati Financial,cincinnati-financial
CL,Colgate-Palmolive Company,colgate-palmolive
CLX,The Clorox Company,the-clorox
CMA,Comerica Incorporated,comerica
CMCSA,Comcast,comcast
CME,CME Group,cme-group
CMG,Chipotle Mexican Grill,chipotle-mexican-grill
CMI,Cummins,cummins
CMS,CMS Energy,cms-energy
CNC,Centene,centene
CNP,CenterPoint Energy,centerpoint-energy
CRM,Salesforce,salesforce
COF,Capital One Financial,capital-one-financial
COO,The Cooper Companies,the-cooper-companies
COP,ConocoPhillips,conocophillips
COST,Costco Wholesale,costco
COTY,Coty,coty
CPB,Campbell Soup Company,campbell-soup
CPRT,Copart,copart
CRM,Salesforce,salesforce
CSCO,Cisco Systems,cisco-systems
CSX,CSX,csx
CTAS,Cintas,cintas
CTSH,Cognizant Technology Solutions,cognizant-technology-solutions
CTVA,Corteva,corteva
CVS,CVS Health,cvs-health
CVX,Chevron,chevron
D,Dominion Energy,dominion-energy
DAL,Delta Air Lines,delta-air-lines
DDOG,,
DD,DuPont de Nemours,dupont-de-nemours
DE,Deere & Company,deere-&
DFS,Discover Financial Services,discover-financial-services
DG,Dollar General,dollar-general
DGX,Quest Diagnostics Incorporated,quest-diagnostics
DHI,D.R. Horton,d.r.-horton
DHR,Danaher,danaher
DIS,The Walt Disney Company,the-walt-disney
DLR,Digital Realty Trust,digital-realty-trust
DLTR,Dollar Tree,dollar-tree
DOV,Dover,dover
DOW,Dow,dow
DPZ,Domino's Pizza,dominos-pizza-inc
DRI,Darden Restaurants,darden-restaurants
DTE,DTE Energy Company,dte-energy
DUK,Duke Energy,duke-energy
DVA,DaVita,davita
DVN,Devon Energy,devon-energy
DXC,DXC Technology Company,dxc-technology
DXCM,DexCom,dexcom
EA,Electronic Arts,electronic-arts
EBAY,eBay,ebay
ECL,Ecolab,ecolab
ED,Consolidated Edison,consolidated-edison
EFX,Equifax,equifax
EIX,Edison International,edison
EL,The Estée Lauder Companies,the-estée-lauder-companies
EMN,Eastman Chemical Company,eastman-chemical
EMR,Emerson Electric Co,emerson-electric-co
EOG,EOG Resources,eog-resources
EQIX,Equinix,equinix
EQR,Equity Residential,equity-residential
ES,Eversource Energy,eversource-energy
ESS,Essex Property Trust,essex-property-trust
ETN,Eaton plc,eaton-plc
ETR,Entergy,entergy
EVRG,Evergy,evergy
EW,Edwards Lifesciences,edwards-lifesciences
EXC,Exelon,exelon
EXPD,Expeditors International of Washington,expeditors-international-of-washington
EXPE,Expedia Group,expedia
EXR,Extra Space Storage,extra-space-storage
F,Ford Motor Company,ford-motor
FANG,Diamondback Energy,diamondback-energy
FAST,Fastenal Company,fastenal
FCX,Freeport-McMoRan,freeport-mcmoran
FDX,FedEx,fedex
FE,FirstEnergy Corp,firstenergy
FFIV,F5,f5
FIS,Fidelity National Information Services,fidelity-national-information-services
FISV,Fiserv,fiserv
FITB,Fifth Third Bancorp,fifth-third-bancorp
FLS,Flowserve,flowserve
FMC,FMC,fmc
FOX,Fox,fox
FOXA,Fox,fox
FRT,Federal Realty Investment Trust,federal-realty-investment-trust
FTI,TechnipFMC plc,technipfmc
FTNT,Fortinet,fortinet
FTV,Fortive,fortive
GD,General Dynamics,general-dynamics
GE,GE Aerospace,ge-aerospace
GILD,Gilead Sciences,gilead-sciences
GIS,General Mills,general-mills
GL,Globe Life,globe-life
GLW,Corning Incorporated,corning-incorporated
GM,General Motors Company,general-motors
GOOG,Alphabet,alphabet
GOOGL,Alphabet,alphabet
GPC,Genuine Parts Company,genuine-parts
GPN,Global Payments,global-payments
GPS,The Gap,the-gap
GRMN,Garmin Ltd,garmin
GS,The Goldman Sachs Group,the-goldman-sachs-group
GWW,W.W. Grainger,w.w.-grainger
HAL,Halliburton Company,halliburton
HAS,Hasbro,hasbro
HBAN,Huntington Bancshares Incorporated,huntington-bancshares
HBI,Hanesbrands,hanesbrands
HCA,HCA Healthcare,hca-healthcare
HD,The Home Depot,the-home-depot
HES,Hess,hess
HIG,The Hartford Financial Services Group,hartford-financial-services
HII,Huntington Ingalls Industries,huntington-ingalls-industries
HLT,Hilton Worldwide Holdings,hilton-worldwide-holdings
HOLX,Hologic,hologic
HON,Honeywell International,honeywell
HPE,Hewlett Packard Enterprise Company,hewlett-packard-enterprise
HPQ,HP,hp
HRB,H&R Block,h&r-block
HRL,Hormel Foods,hormel-foods
HSIC,Henry Schein,henry-schein
HST,Host Hotels & Resorts,host-hotels-&-resorts
HSY,The Hershey Company,hershey
HUM,Humana,humana
HWM,Howmet Aerospace,howmet-aerospace
IBM,International Business Machines,international-business-machines
ICE,Intercontinental Exchange,intercontinental-exchange
IDXX,IDEXX Laboratories,idexx-laboratories
IEX,IDEX,idex
IFF,International Flavors & Fragrances,international-flavors-&-fragrances
ILMN,Illumina,illumina
INCY,Incyte,incyte
INTC,Intel,intel
INTU,Intuit,intuit
IP,International Paper Company,international-paper
IPG,The Interpublic Group of Companies,the-interpublic-group-of-companies
IPGP,IPG Photonics,ipg-photonics
IQV,IQVIA Holdings,iqvia-holdings
IR,Ingersoll Rand,ingersoll-rand
IRM,Iron Mountain Incorporated,iron-mountain-incorporated
ISRG,Intuitive Surgical,intuitive-surgical
IT,Gartner,gartner
ITW,Illinois Tool Works,illinois-tool-works
IVZ,Invesco Ltd,invesco
J,Jacobs Solutions,jacobs-solutions
JBHT,J.B. Hunt Transport Services,j.b.-hunt-transport-services
JCI,Johnson Controls International plc,johnson-controls-international-plc
JKHY,Jack Henry & Associates,jack-henry-&-associates
JNJ,Johnson & Johnson,johnson-johnson
JNPR,Juniper Networks,juniper-networks
JPM,JPMorgan Chase & Co,jpmorgan-chase-&-co
K,Kellanova,kellanova
KEY,KeyCorp,keycorp
KEYS,Keysight Technologies,keysight-technologies
KHC,The Kraft Heinz Company,kraft-heinz
KIM,Kimco Realty,kimco-realty
KLAC,KLA,kla
KMB,Kimberly-Clark,kimberly-clark
KMI,Kinder Morgan,kinder-morgan
KMX,CarMax,carmax
KO,The Coca-Cola Company,cocacola
KR,The Kroger Co,the-kroger-co
KSS,Kohl's,kohl's
L,Loews,loews
LDOS,Leidos Holdings,leidos-holdings
LEG,"Leggett & Platt, Incorporated","leggett-&-platt,-incorporated"
LEN,Lennar,lennar
LH,Labcorp Holdings,labcorp-holdings
LHX,L3Harris Technologies,l3harris-technologies
LIN,Linde plc,linde
LKQ,LKQ,lkq
LLY,Eli Lilly and Company,eli-lilly-and
LMT,Lockheed Martin,lockheed-martin
LNC,Lincoln National,lincoln-national
LNT,Alliant Energy,alliant-energy
LOW,Lowe's Companies,lowes
LRCX,Lam Research,lam-research
LUV,Southwest Airlines Co,southwest-airlines-co
LVS,Las Vegas Sands Corp,las-vegas-sands
LW,Lamb Weston Holdings,lamb-weston-holdings
LYB,LyondellBasell Industries N.V,lyondellbasell-industries-n.v
LYV,Live Nation Entertainment,live-nation-entertainment
MA,Mastercard Incorporated,mastercard
MAA,Mid-America Apartment Communities,mid-america-apartment-communities
MAR,Marriott International,marriott-international
MAS,Masco,masco
MCD,McDonald's,mcdonald's
MCHP,Microchip Technology Incorporated,microchip-technology
MCK,McKesson,mckesson
MCO,Moody's,moody's
MDLZ,Mondelez International,mondelez-international
MDT,Medtronic plc,medtronic
MET,MetLife,metlife
MGM,MGM Resorts International,mgm-resorts-international
MHK,Mohawk Industries,mohawk-industries
MKC,"McCormick & Company, Incorporated","mccormick-&,-incorporated"
MKTX,MarketAxess Holdings,marketaxess-holdings
MLM,Martin Marietta Materials,martin-marietta-materials
MMC,Marsh & McLennan Companies,marsh-mclennan
MMM,3M Company,3m
MNST,Monster Beverage,monster-beverage
MO,Altria Group,altria-group
MOS,The Mosaic Company,mosaic
MPC,Marathon Petroleum,marathon-petroleum
MRK,Merck & Co,merck-&-co
MRO,Marathon Oil,marathon-oil
MS,Morgan Stanley,morgan-stanley
MSCI,MSCI,msci
MSFT,Microsoft,microsoft
MSI,Motorola Solutions,motorola-solutions
MTB,M&T Bank,m-t-bank
MTD,Mettler-Toledo International,mettler-toledo-international
MU,Micron Technology,micron-technology
NCLH,Norwegian Cruise Line Holdings Ltd,norwegian-cruise-line-holdings
NDAQ,Nasdaq,nasdaq
NEE,NextEra Energy,nextera-energy
NEM,Newmont,newmont
NFLX,Netflix,netflix
NI,NiSource,nisource
NKE,NIKE,nike
NOC,Northrop Grumman,northrop-grumman
NOW,ServiceNow,servicenow
